id,a1,a2,a3,a3_o7,a4_1,a4_2,a4_3,a5_1,a5_2,a6,a6_o6,a7,a7_o7,a8,a8_o7,a9,a9_o7,a10,a11_1,a11_2,b12,b13_1,b13_2,b13_3,b14,b15_1,b15_2,b15_3,b15_4,b15_5,b15_6,b15_7,b15_8,b15_9,b15_10,b15_11,b15_o11,b15_12,b15_o12,b16_1,b16_2,b16_3,b16_4,b16_5,b16_6,b16_7,b16_8,b16_o8,b17,b18,b19,b20_1,b20_2,b20_3,b20_4,b20_5,b20_6,b20_7,b20_8,b20_9,b20_10,b20_11,b20_12,b20_13,b20_14,b20_o14,b21,b22,b23,b24,b25_1,b25_2,b25_3,b25_4,b25_5,b25_6,b25_7,b25_8,b25_o8,b26,b26_o1,c27,c28_1,c28_2,c28_3,c28_4,c28_5,c28_6,c28_7,c28_8,c28_9,c28_o9,c29,c30,c31,c32,c33_1,c33_2,c33_3,c33_4,c34,c35_1,c35_2,c35_3,c35_4,z1,z2,z3,z4,z5,z6,z6_o5,z7,z8,z9
24052113001,0,2004,6,996,輔仁大學,藝術,音樂系,996,996,996,996,4,996,5,996,3,996,40,新北,新莊,5,1,996,1.5,0,0,0,3,2,0,1,0,0,0,0,0,,0,,0,0,2,0,0,1,0,0,,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,3,2,2,0,0,0,0,0,1,0,0,,0,,2,1,0,1,0,0,0,1,1,0,,2,3,3,1,3,4,4,3,3,4,3,3,4,黃綺瑀,1,2024/05/21,18,49,5,A右,,17,
24052113002,0,1991,1,996,朝陽科技大學,設計,建築系,文創,負責人,1,996,4,996,2,996,2,996,30,台北,南港,5,1,996,999,0,3,0,0,0,0,1,2,0,0,0,0,,0,,0,0,0,0,0,1,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,3,0,0,0,0,0,1,0,0,,0,,2,1,1,1,0,0,0,1,1,0,,2,3,3,1,3,3,4,3,2,4,3,4,4,黃綺瑀,2,2024/05/21,18,57,5,A2,,17,
24052113003,0,2009,6,996,瑞坪,996,996,996,996,996,996,1,996,2,996,2,996,60,桃園,楊梅,4,1,996,999,0,0,0,3,0,0,2,1,0,0,0,0,,0,,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,3,3,2,1,1,0,0,0,0,1,0,0,,0,,2,0,0,1,0,0,0,1,0,0,,2,4,4,1,3,4,4,4,2,2,1,4,4,黃綺瑀,3,2024/05/21,19,8,5,A右2,,17,
24052113005,1,2007,6,996,師大附中,996,996,996,996,996,996,2,996,3,996,4,996,25,台北,大安,2,1,996,999,0,0,0,3,2,0,1,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,冤獄、消防員權益,3,3,3,2,1,1,0,0,0,1,1,0,,1,青民協,1,0,0,0,0,0,1,1,1,0,,2,4,4,1,3,3,4,3,2,1,4,5,5,黃綺瑀,5,2024/05/21,19,17,5,A右2,,17,
24052113006,1,2000,1,996,大同大學,設計,工業設計系,UI/UX設計師,設計師,3,996,4,996,4,996,4,996,30,台北,大同,6,1,996,999,0,0,0,2,0,0,3,0,0,0,0,0,,1,X(twitter),0,0,0,0,0,1,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,1,2,0,1,0,0,0,1,0,0,,0,,3,0,0,1,0,0,0,1,0,0,,3,4,4,1,3,3,4,4,2,4,5,5,3,黃綺瑀,6,2024/05/21,19,27,5,A右大帳篷,,17,
24052113007,1,2007,6,996,北一女,996,996,996,996,996,996,2,996,4,996,3,996,30,台北,萬華,3,1,996,999,0,0,0,3,2,0,1,0,0,0,0,0,,0,,1,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,3,0,0,0,0,0,0,1,0,,0,,2,0,0,0,0,0,0,1,0,0,,1,3,2,1,3,2,3,2,2,2,3,3,2,黃綺瑀,7,2024/05/21,19,36,5,A右2,,17,
24052113008,0,1994,1,996,屏科大,農,水產養殖系,動物園,保育員,2,996,4,996,7,未知,2,996,35,新北,蘆洲,3,1,996,999,0,0,0,0,3,0,0,1,0,0,0,0,,2,X(twitter),0,0,0,0,0,1,0,0,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,割闌尾,3,3,4,2,0,0,0,0,0,1,1,0,,1,職業工會,1,1,0,1,0,1,0,0,0,0,,2,3,3,1,3,3,3,3,2,2,3,3,4,黃綺瑀,8,2024/05/21,19,49,5,A右,,17,
24052113009,0,1949,3,996,華盛頓大學,理,化學所,大學,教授,2,996,6,996,7,公學校(日治),7,公學校(日治),20,台北,中正,4,1,996,999,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,0,0,0,1,0,0,,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,台灣勞工陣線,1,3,5,4,0,0,0,0,0,0,0,0,,1,台灣勞工陣線、民進黨,1,1,0,1,0,1,1,1,1,0,,2,4,4,1,4,4,4,3,2,2,2,5,5,黃綺瑀,9,2024/05/21,20,6,5,A2右帳篷,,17,
24052113010,1,1996,1,996,東南科大,設計,室內設計系,999,999,6,999,4,996,2,996,2,996,60,新北,蘆洲,2,1,996,999,0,0,0,1,3,0,0,2,0,0,0,0,,0,,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,反送中,3,3,2,1,0,0,0,0,0,1,0,0,,0,,2,1,0,1,0,0,0,0,0,0,,4,4,3,1,3,3,4,4,2,3,3,4,4,黃綺瑀,10,2024/05/21,20,16,5,A2右,,17,
24052113011,0,1960,1,996,中山醫學大學,999,999,藝術,導演,3,996,3,996,3,996,7,無,40,新北,淡水,3,1,996,999,0,0,0,0,1,0,0,0,0,0,0,0,,2,youtube,0,1,0,1,0,1,0,0,,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,野百合、反媒體壟斷,1,1,5,4,0,0,0,0,0,0,0,0,,0,,2,1,1,1,0,1,0,0,0,0,,2,4,4,1,4,4,4,4,3,3,3,3,3,黃綺瑀,11,2024/05/21,20,28,5,A2右,,17,
24052113012,0,1997,1,996,台藝大,表演藝術,戲劇系,劇場,演員,4,996,4,996,2,996,1,996,40,新北,永和,7,1,996,999,0,0,0,0,0,0,2,1,0,0,0,0,,0,,0,0,0,0,0,1,0,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,3,4,3,1,1,0,0,0,0,0,0,,0,,2,0,0,1,0,1,0,0,0,0,,2,4,3,1,3,4,3,3,3,2,3,5,4,黃綺瑀,12,2024/05/21,20,37,5,A2右,,17,
24052110001,0,1999,1,996,北科大,999,建築系,建築,999,3,996,4,996,4,996,4,996,180,宜蘭,宜蘭,999,1,0,1,0,3,0,0,2,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,1,1,4,3,0,0,0,0,0,0,0,0,,0,,1,1,0,1,0,1,0,0,0,0,,2,3,3,1,3,3,3,3,2,2,3,4,3,張仁瑋,1,2024/05/21,18,40,2,,,17,
